Geography,Year,All industries,Goods-producing sector,Service-producing sector
Canada,2010,0.0,0.0,0.0
Canada,2011,0.024869785556754564,0.028088787791212377,0.022863974296708722
Canada,2012,0.02510187262487995,0.036679361624954776,0.02092844881113254
Canada,2013,0.017720557857007213,0.026302208615788247,0.015288112955542887
Canada,2014,0.026419731414025982,0.03746633484471418,0.0233738166271229
Canada,2015,0.017680006841115148,0.00371319663512093,0.023218712698558575
Canada,2016,0.004789614099951711,0.0030446881650025848,0.007291000661798552
Canada,2017,0.020269281428362262,0.009196096350936767,0.023184597053484968
Canada,2018,0.02589112816467032,0.013260133086457682,0.029287245736425715
Canada,2019,0.02718520294023663,0.02791276661958686,0.02745997842958947
Newfoundland and Labrador,2010,0.0,0.0,0.0
Newfoundland and Labrador,2011,0.05064365370593937,0.047361432154625405,0.05047397202257131
Newfoundland and Labrador,2012,0.0542207053469852,0.11747746055597319,0.034661038052436366
Newfoundland and Labrador,2013,0.027809552586709252,0.0721411222886148,0.0083434570334886
Newfoundland and Labrador,2014,0.044181724641181086,0.08612323924341347,0.02867632015639554
Newfoundland and Labrador,2015,0.026374797639038272,0.01585594688221703,0.025092536323960024
Newfoundland and Labrador,2016,-0.003389697670317604,0.032850941693841174,-0.008881607312235973
Newfoundland and Labrador,2017,0.01707494495124262,0.017258101127382686,0.023555768226900975
Newfoundland and Labrador,2018,0.0030638380128544807,-0.044418148623977305,0.025138655730041037
Newfoundland and Labrador,2019,0.02147771289819045,0.04785559117187099,0.010582065420173148
Prince Edward Island,2010,0.0,0.0,0.0
Prince Edward Island,2011,0.01833290863274728,0.046272593786140126,0.013379562358831087
Prince Edward Island,2012,0.026441271738979255,0.040934946223204705,0.023396129984809555
Prince Edward Island,2013,0.018879934990180702,-0.014770802013983286,0.026509634192017906
Prince Edward Island,2014,0.028353427534594466,0.010681069560162904,0.032365739614584
Prince Edward Island,2015,0.03412528114578217,0.07256344508615098,0.026808739020590888
Prince Edward Island,2016,0.022061948451288727,0.06556516299126391,0.01348784436710404
Prince Edward Island,2017,0.004011398241344333,-0.007758195904930765,0.005710763657404527
Prince Edward Island,2018,0.024666544856568606,0.00775545999175864,0.027603717183845466
Prince Edward Island,2019,0.030563480741797378,0.03497698606582311,0.029673807205452762
Nova Scotia,2010,0.0,0.0,0.0
Nova Scotia,2011,0.009838443785031403,0.006747594406656399,0.010864793678665441
Nova Scotia,2012,0.02976322628671424,0.011551350710645059,0.03482249484312239
Nova Scotia,2013,0.011464806594800203,0.014157123834886765,0.010635507645500475
Nova Scotia,2014,0.02818667402261954,0.038653838074030666,0.0270810354895219
Nova Scotia,2015,0.018462964317943475,0.013632134622385772,0.019051950677178242
Nova Scotia,2016,0.015158771971837792,0.0026139356692473914,0.018150260352095104
Nova Scotia,2017,0.016029345851713783,0.020389276971759518,0.014307632360820222
Nova Scotia,2018,0.012119664271369013,0.014959577933159718,0.01103254540870835
Nova Scotia,2019,0.03806847508172262,0.04578341035963773,0.03659550214918439
New Brunswick,2010,0.0,0.0,0.0
New Brunswick,2011,0.03525405007363758,0.028784800395365462,0.037406861597366614
New Brunswick,2012,0.024603386299838714,0.022737947820145932,0.025769021414441706
New Brunswick,2013,-0.002640517690228883,-0.0016700415422832293,-0.0019025678194243278
New Brunswick,2014,0.03411929946676939,0.019091232252263612,0.038525876265933734
New Brunswick,2015,0.027969422341883154,0.027915709126723476,0.027332434322245414
New Brunswick,2016,0.022835428237357513,0.021129220604233945,0.023785505062168033
New Brunswick,2017,0.01376346052721833,0.03503078877920052,0.007954032813353162
New Brunswick,2018,0.028506348526194714,-0.011530398322851187,0.03951521718646944
New Brunswick,2019,0.032310053722179655,0.04356424292797567,0.029368109767842432
Quebec,2010,0.0,0.0,0.0
Quebec,2011,0.024939436440137852,0.031667562983493935,0.022477219034761964
Quebec,2012,0.023822556166496645,0.032229284038735484,0.020913651967256364
Quebec,2013,0.011737402947716191,0.00969223746952963,0.014135326677357618
Quebec,2014,0.020428260895672956,0.021891561745553956,0.02095208947039562
Quebec,2015,0.021090292816119183,0.008857054111800267,0.025593305021234025
Quebec,2016,0.01254034117104652,0.014414464845499353,0.011947533157144807
Quebec,2017,0.027980147527547405,0.016619301198392167,0.030737754242387894
Quebec,2018,0.03194693597324649,0.019541144966345847,0.034841903694362575
Quebec,2019,0.035593565902286795,0.036354440264073196,0.03484226203908469
Ontario,2010,0.0,0.0,0.0
Ontario,2011,0.013660706181356064,0.01361511695157902,0.013196741720912009
Ontario,2012,0.014181777479292723,0.02424537214588396,0.011374806909141943
Ontario,2013,0.01527475802090339,0.01777185179773344,0.015169397389614092
Ontario,2014,0.0198388972834298,0.02953923460002672,0.017951786630193256
Ontario,2015,0.026210880873198672,0.02254721667814219,0.027175008397715805
Ontario,2016,0.011373669176837131,0.010816201288738947,0.012252417236229718
Ontario,2017,0.019266714593817458,0.007841946826541157,0.02231291930950574
Ontario,2018,0.029139713439332526,0.014507667980221406,0.0326546090400599
Ontario,2019,0.027541169789892184,0.032872329020180446,0.026603286648373414
Manitoba,2010,0.0,0.0,0.0
Manitoba,2011,0.02563676137599291,0.03862491882166319,0.0215993075437777
Manitoba,2012,0.027415713519514107,0.033416361716739784,0.026226260150944425
Manitoba,2013,0.005608770076847458,0.015552932541138986,0.0034421877580053106
Manitoba,2014,0.0421812562626005,0.042193680714948334,0.03973417721518979
Manitoba,2015,0.019507222537560764,0.02234197085422429,0.01887045130814835
Manitoba,2016,0.00931701719103284,0.01479525891703104,0.009678691345338164
Manitoba,2017,0.024901216917517566,0.04221204484069996,0.020769476561852684
Manitoba,2018,0.029019254637918435,0.019900152544723326,0.030850743153940652
Manitoba,2019,0.018103218231307006,0.019350397715684364,0.017263678794354087
Saskatchewan,2010,0.0,0.0,0.0
Saskatchewan,2011,0.038011280155457516,0.034737494586860596,0.03487477890851287
Saskatchewan,2012,0.04871923656454058,0.06760216642048267,0.038913590032572554
Saskatchewan,2013,0.029954719609891933,0.02406647296653297,0.026285986767598413
Saskatchewan,2014,0.02988670950287453,0.05474784018494483,0.022952723893599813
Saskatchewan,2015,0.005315437343512697,-0.010190502622346442,0.01502282379124753
Saskatchewan,2016,0.007757476778605499,0.008814373323938973,0.012641376455716058
Saskatchewan,2017,0.021867720044566052,0.015236927813450984,0.024028104596824917
Saskatchewan,2018,0.005183914995688266,0.004892773156435437,0.006926014628778621
Saskatchewan,2019,0.026505738965802772,0.03411059573041242,0.024599297162938294
Alberta,2010,0.0,0.0,0.0
Alberta,2011,0.04381323585839203,0.034190735459958654,0.04386398372769151
Alberta,2012,0.034660888239675725,0.03765132415143868,0.029525738693909842
Alberta,2013,0.03537903436927348,0.04202141900937084,0.02764173741953413
Alberta,2014,0.03772801155860561,0.051612944667840166,0.028032423545570895
Alberta,2015,-0.003289301937033362,-0.0155943633065182,0.014332419000576913
Alberta,2016,-0.02379954601012746,0.003046661702655884,-0.02158402602456766
Alberta,2017,0.010490636235175987,-0.013127045301297269,0.019510453850076548
Alberta,2018,0.01656827776646863,0.007434384970757657,0.02223822814441334
Alberta,2019,0.01402589261616427,0.014615935040288797,0.019552580588338753
British Columbia,2010,0.0,0.0,0.0
British Columbia,2011,0.02826764436296969,0.03260655673186674,0.02560558946600633
British Columbia,2012,0.029938909886139564,0.041896141019533095,0.026251434845535604
British Columbia,2013,0.01074350600643914,0.026329025944927587,0.006759714049506371
British Columbia,2014,0.02415856053340626,0.022053713043323375,0.02516665056516265
British Columbia,2015,0.015461963792027023,0.0037837507955467142,0.018541205296140895
British Columbia,2016,0.01035228507755992,0.005463151952056489,0.01243263247981874
British Columbia,2017,0.025132016428711212,0.0282816765142877,0.02349756114277879
British Columbia,2018,0.027102080617295687,0.03254422957374947,0.025123328645728638
British Columbia,2019,0.0295963014942624,0.029118393647487695,0.0298642336879007
Yukon,2010,0.0,0.0,0.0
Yukon,2011,0.043416529666716386,0.048151427938897484,0.04008253244285176
Yukon,2012,0.026437216725836654,0.13021438377864625,0.00986677246909462
Yukon,2013,0.010954398205831106,-0.013346415000311529,0.019282265485261796
Yukon,2014,0.027320949676605144,0.01655749348906954,0.02991296938713406
Yukon,2015,0.008522481884927213,-0.048599465871684955,0.01854532919682872
Yukon,2016,0.003578123959156132,0.03898880438685248,-0.003065230424104226
Yukon,2017,0.0379009852170038,0.09456827356549335,0.028312043530130726
Yukon,2018,0.021159187253325662,-0.03404679730495741,0.029022825881908965
Yukon,2019,0.04330243710410464,0.09622498551499747,0.034299751597202555
Northwest Territories,2010,0.0,0.0,0.0
Northwest Territories,2011,0.04206690414772951,0.04024724266953594,0.03647958278639085
Northwest Territories,2012,0.038993493226039844,0.0714617360282579,0.026655599387306328
Northwest Territories,2013,0.015860650158076917,0.016527157636062606,0.02360472094418875
Northwest Territories,2014,0.04102419012590186,0.010894727469930254,0.04678034004299403
Northwest Territories,2015,0.016592643451269762,-0.004708067770553881,0.013815313528272366
Northwest Territories,2016,-0.012262471770988048,0.03256532372248677,-0.022596659223964033
Northwest Territories,2017,-0.003283522557301466,0.0010076456411536316,-0.00271619669660228
Northwest Territories,2018,0.014070617492157211,0.0329386370004463,0.014452368582628772
Northwest Territories,2019,0.023980663255958046,0.03856432410709787,0.02544345639927359
Nunavut,2010,0.0,0.0,0.0
Nunavut,2011,0.030448489004447854,0.0,0.02006769825918764
Nunavut,2012,0.04040889513281698,0.04075232920339156,0.03895709883858722
Nunavut,2013,0.046132935344597614,-0.007180388814699068,0.049432398890349116
Nunavut,2014,0.051478018665240155,0.1020568176441563,0.04054747350023047
Nunavut,2015,0.014351362046825633,-0.035131189970928456,0.02036535633106018
Nunavut,2016,0.016911097310466694,0.046453679807777926,0.01408669871663637
Nunavut,2017,0.043978327930975114,0.06235345571173445,0.02865426704678531
Nunavut,2018,0.031956141863970666,0.08444688405921386,0.010889619923215133
Nunavut,2019,0.04699127906976752,0.054239164821259234,0.022329056509987844
